"2024-07-24,12:17:27",[   38] ,[  288] ,[  192] ,[  291] ,[  351] ,[  227] ,[  164] ,[  115] ,[  702] ,[   37] ,foto_121727_24072024.jpg
"2024-07-24,12:25:37",[   38] ,[  288] ,[  192] ,[  291] ,[  352] ,[  228] ,[  165] ,[  116] ,[  704] ,[   37] ,foto_122537_24072024.jpg
"2024-07-24,12:27:51",[   38] ,[  288] ,[  192] ,[  291] ,[  351] ,[  227] ,[  164] ,[  116] ,[  703] ,[   37] ,foto_122751_24072024.jpg
"2024-07-24,14:07:46",[   43] ,[  320] ,[  204] ,[  310] ,[  381] ,[  251] ,[  182] ,[  120] ,[  668] ,[   43] ,foto_140746_24072024.jpg
"2024-07-24,14:26:31",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  207] ,[  149] ,[  107] ,[  668] ,[   34] ,foto_142631_24072024.jpg
"2024-07-24,14:44:37",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  206] ,[  148] ,[  107] ,[  667] ,[   34] ,foto_144437_24072024.jpg
"2024-07-24,14:45:50",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  206] ,[  148] ,[  107] ,[  666] ,[   34] ,foto_144550_24072024.jpg
"2024-07-24,14:46:40",[   36] ,[  267] ,[  180] ,[  275] ,[  327] ,[  206] ,[  148] ,[  107] ,[  665] ,[   34] ,foto_144640_24072024.jpg
"2024-07-24,15:30:08",[   36] ,[  267] ,[  180] ,[  274] ,[  326] ,[  206] ,[  148] ,[  107] ,[  665] ,[   34] ,foto_153008_24072024.jpg
"2024-07-24,15:34:06",[   53] ,[  352] ,[  242] ,[  391] ,[  553] ,[  436] ,[  341] ,[  227] ,[ 1069] *,[   59] ,foto_153406_24072024.jpg
"2024-07-24,16:25:11",[   53] ,[  354] ,[  243] ,[  393] ,[  557] ,[  440] ,[  344] ,[  228] ,[ 1078] *,[   59] ,foto_162511_24072024.jpg
"2024-07-24,16:48:46",[   53] ,[  356] ,[  244] ,[  395] ,[  560] ,[  442] ,[  346] ,[  230] ,[ 1084] *,[   59] ,foto_164846_24072024.jpg
"2024-07-24,16:51:51",[   36] ,[  270] ,[  182] ,[  278] ,[  332] ,[  211] ,[  152] ,[  109] ,[  680] ,[   35] ,foto_165151_24072024.jpg
"2024-07-24,17:01:23",[   36] ,[  268] ,[  181] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_170123_24072024.jpg
"2024-07-24,17:05:43",[   36] ,[  268] ,[  181] ,[  276] ,[  331] ,[  210] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_170543_24072024.jpg
"2024-07-24,17:06:31",[   36] ,[  268] ,[  181] ,[  276] ,[  330] ,[  209] ,[  151] ,[  108] ,[  674] ,[   35] ,foto_170631_24072024.jpg
"2024-07-24,17:08:12",[   36] ,[  268] ,[  181] ,[  276] ,[  331] ,[  210] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_170812_24072024.jpg
"2024-07-24,17:11:02",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_171102_24072024.jpg
"2024-07-24,17:15:59",[   36] ,[  268] ,[  182] ,[  276] ,[  330] ,[  210] ,[  151] ,[  109] ,[  674] ,[   35] ,foto_171559_24072024.jpg
"2024-07-24,17:16:50",[   36] ,[  268] ,[  181] ,[  276] ,[  330] ,[  210] ,[  151] ,[  109] ,[  674] ,[   35] ,foto_171650_24072024.jpg
"2024-07-24,17:17:46",[   36] ,[  269] ,[  182] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_171746_24072024.jpg
"2024-07-24,17:20:29",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_172029_24072024.jpg
"2024-07-24,17:21:31",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  210] ,[  152] ,[  109] ,[  677] ,[   35] ,foto_172131_24072024.jpg
"2024-07-24,17:26:04",[   36] ,[  269] ,[  182] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_172604_24072024.jpg
"2024-07-24,17:28:38",[   36] ,[  270] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  679] ,[   35] ,foto_172838_24072024.jpg
"2024-07-24,17:29:51",[   36] ,[  269] ,[  182] ,[  277] ,[  331] ,[  210] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_172951_24072024.jpg
"2024-07-24,17:38:10",[   36] ,[  269] ,[  182] ,[  277] ,[  332] ,[  211] ,[  152] ,[  109] ,[  678] ,[   35] ,foto_173810_24072024.jpg
"2024-07-25,14:22:06",[   36] ,[  267] ,[  181] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_142206_25072024.jpg
"2024-07-25,14:25:58",[   36] ,[  267] ,[  181] ,[  275] ,[  329] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_142558_25072024.jpg
"2024-07-25,14:29:33",[   36] ,[  268] ,[  181] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_142933_25072024.jpg
"2024-07-25,14:31:12",[   36] ,[  267] ,[  181] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_143112_25072024.jpg
"2024-07-25,14:46:59",[   36] ,[  268] ,[  182] ,[  276] ,[  330] ,[  209] ,[  152] ,[  109] ,[  676] ,[   35] ,foto_144659_25072024.jpg
"2024-07-25,14:46:59",[   36] ,[  268] ,[  182] ,[  276] ,[  330] ,[  209] ,[  152] ,[  110] ,[  676] ,[   35] ,foto_144659_25072024.jpg
"2024-07-25,14:51:56",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_145156_25072024.jpg
"2024-07-25,14:51:56",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_145156_25072024.jpg
"2024-07-25,14:57:46",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  110] ,[  676] ,[   35] ,foto_145746_25072024.jpg
"2024-07-25,14:57:46",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  110] ,[  676] ,[   35] ,foto_145746_25072024.jpg
"2024-07-25,15:01:02",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150102_25072024.jpg
"2024-07-25,15:01:02",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150102_25072024.jpg
"2024-07-25,15:04:00",[   36] ,[  268] ,[  181] ,[  275] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150400_25072024.jpg
"2024-07-25,15:04:00",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_150400_25072024.jpg
"2024-07-25,15:05:09",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  208] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_150509_25072024.jpg
"2024-07-25,15:05:09",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_150509_25072024.jpg
"2024-07-25,15:07:48",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_150748_25072024.jpg
"2024-07-25,15:07:49",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_150749_25072024.jpg
"2024-07-25,15:10:05",[   36] ,[  268] ,[  182] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_151005_25072024.jpg
"2024-07-25,15:10:06",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_151006_25072024.jpg
"2024-07-25,15:12:08",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_151208_25072024.jpg
"2024-07-25,15:12:09",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  208] ,[  152] ,[  109] ,[  673] ,[   35] ,foto_151209_25072024.jpg
"2024-07-25,15:13:08",[   36] ,[  266] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_151308_25072024.jpg
"2024-07-25,15:13:08",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_151308_25072024.jpg
"2024-07-25,15:14:49",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_151449_25072024.jpg
"2024-07-25,15:14:50",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_151450_25072024.jpg
"2024-07-25,15:18:09",[   36] ,[  268] ,[  182] ,[  276] ,[  328] ,[  209] ,[  152] ,[  110] ,[  674] ,[   35] ,foto_151809_25072024.jpg
"2024-07-25,15:18:09",[   36] ,[  268] ,[  182] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_151809_25072024.jpg
"2024-07-25,15:25:06",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_152506_25072024.jpg
"2024-07-25,15:25:06",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_152506_25072024.jpg
"2024-07-25,15:29:02",[   36] ,[  265] ,[  180] ,[  273] ,[  326] ,[  207] ,[  151] ,[  109] ,[  669] ,[   34] ,foto_152902_25072024.jpg
"2024-07-25,15:29:03",[   36] ,[  266] ,[  180] ,[  273] ,[  326] ,[  207] ,[  150] ,[  109] ,[  669] ,[   34] ,foto_152903_25072024.jpg
"2024-07-25,15:35:49",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_153549_25072024.jpg
"2024-07-25,15:35:49",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_153549_25072024.jpg
"2024-07-25,15:40:14",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  110] ,[  675] ,[   35] ,foto_154014_25072024.jpg
"2024-07-25,15:43:37",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_154337_25072024.jpg
"2024-07-25,15:46:12",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_154612_25072024.jpg
"2024-07-25,15:49:55",[   36] ,[  268] ,[  182] ,[  276] ,[  329] ,[  209] ,[  152] ,[  110] ,[  675] ,[   35] ,foto_154955_25072024.jpg
"2024-07-25,15:51:49",[   36] ,[  268] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  675] ,[   35] ,foto_155149_25072024.jpg
"2024-07-25,15:53:07",[   36] ,[  267] ,[  181] ,[  275] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_155307_25072024.jpg
"2024-07-25,15:54:31",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_155431_25072024.jpg
"2024-07-25,15:55:39",[   36] ,[  267] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   34] ,foto_155539_25072024.jpg
"2024-07-25,15:58:10",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  673] ,[   35] ,foto_155810_25072024.jpg
"2024-07-25,15:59:03",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  151] ,[  109] ,[  673] ,[   35] ,foto_155903_25072024.jpg
"2024-07-25,16:01:59",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_160159_25072024.jpg
"2024-07-25,16:04:20",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  208] ,[  152] ,[  109] ,[  673] ,[   35] ,foto_160420_25072024.jpg
"2024-07-25,16:05:29",[   36] ,[  267] ,[  181] ,[  275] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_160529_25072024.jpg
"2024-07-25,16:07:25",[   36] ,[  268] ,[  181] ,[  276] ,[  328] ,[  209] ,[  152] ,[  109] ,[  674] ,[   35] ,foto_160725_25072024.jpg
"2024-07-25,16:08:50",[   36] ,[  266] ,[  181] ,[  274] ,[  327] ,[  208] ,[  151] ,[  109] ,[  672] ,[   35] ,foto_160850_25072024.jpg
"2024-07-25,16:26:41",[   66] ,[  415] ,[  289] ,[  457] ,[  740] ,[  638] ,[  512] ,[  321] ,[ 1369] *,[   84] ,foto_162641_25072024.jpg
